voyageid,voyagerank,voyagename,port,sailingfrom,ground,yearout,dayout,yearin,dayin,returncode,agentid,agent,bone,sperm,oil,customsdistrict,logbookexists,aowllink,crewlistlink,source,masterid,master,fate,birth,birthlocation,death,deathlocation,wife,wifetosea,vitalrecordssource,lateroccupation,vesselid,vessel,rig,tonnage,builtplace,builtdate,end,denniswood,logbookscan,voyagecode,boatcode,max_distance,years,price_sperm,price_sperm_real,price_oil,price_oil_real,price_bone,price_bone_real,lost,lost_total,_merge2,product,product_nom,tonn_avg,enddate,life,duration,mastercode,age,lay,_merge,Total,experience,re_prod,n_voyage,l_re_prod,change_boat,stay_boat
AV06797,1,Horatio : 1890-1891,"New Bedford, MA",New Bedford,,1890,1890 May 13,1891,1891 Oct 29,L,AA0760,"Lewis, William",2800,0,160,New Bedford,KWM,NULL,1,"1, 13, 51, 5, 69, 480",AM0016,"Adams, David Blake**",D,"Aug 20, 1843","Chilmark, MA",1891,"Hawaii, buried West Tisbury, MA",Alice C. Tilton,,"12, 568, 591, 649",,AS0297,Horatio,Bark / Ship,349,"Port Jefferson, NY",1877,"Lost, Caroline Is, Jan 28, 1899 | Note in Laflin List says mar 11, 1899",,NULL,6236,291,,1,.64999998,.79000002,.41999999,.50999999,4.2199998,5.1500001,.011363637,1,Matched (3),17847.201,14638.399,349,1899,,1,15,,,both in master and using data,1,1,17847.201,1,,,
AV15905,1,Zephyr : 1831-1832,"New Bedford, MA",,S Atlantic,1831,1831 Mar 3,1832,1832 Mar 14,C,,NULL,0,150,1750,"New Bedford, MA",,NULL,1,"1, 4, 395, 5, 256",AM0017,"Adams, David L.",,1801,"Chilmark, MA","Nov 29, 1869",Chilmark,Phoebe,,620,,AS0699,Zephyr,Ship,361,"Middletown, CT",1815,"Cond and sold at Mauritius, 1863",,NULL,14466,688,,1,.70999998,.75999999,.30000001,.31999999,.17,.18000001,.041958041,6,Matched (3),28308,26523,361,1863,,1,16,,,both in master and using data,1,1,28308,1,,,
AV15151,1,Victory : 1823-1824,"New Bedford, MA",,,1823,1823,1824,1824,C,,NULL,0,0,1150,"New Bedford, MA","SLU, NHA",NULL,1,"1, 4, 395, 5",AM0018,"Adams, Henry",,,,,,,,,,AS0668,Victory,Ship,269,"New Bedford, MA",1812,"Cond at Tahiti, July 12, 1838",,NULL,13769,659,,1,.43000001,.41999999,.31999999,.31,.13,.13,.050420169,6,Matched (3),14973,15456,269,1838,,1,17,,,both in master and using data,1,1,14973,1,,,
AV15709,1,William Rotch : 1824-1827,"New Bedford, MA",,Pacific,1824,1824,1827,1827,A,AA1079,"Rotch, William R. & Co.",0,1930,0,"New Bedford, MA",,NULL,1,"1, 2, 4, 117, 395, 412, 5",AM0018 ?,"Adams, Henry*** ?",L,,,,,,,,,AS0682,William Rotch,Ship,290,"Fall River, MA",1819,"Sold to Honolulu, 1864 ?American ownership | Aband near Pt Belcher,Sept 14, 1871",,NULL,14280,672,,3,.45500001,.46000001,.30000001,.31,.13,.13,.072072074,8,Matched (3),37287.602,36882.301,290,1871,,3,18,,,both in master and using data,1,1,12429.2,1,,,
AV02806,1,Cherokee : 1840-1843,"New Bedford, MA",,Pacific,1840,1840 Dec 14,1843,1843,So,AA0564,Hathaway & Luce,22800,525,2021,New Bedford,MAU,1,1,"1, 2, 4, 7, 117, 335, 5, 395",AM0022,"Adams, Joseph S.",,,,,,,,,,AS0101,Cherokee,Bark,297/261,"Falmouth, ME",1829,"Sold to New York, 1872; foreign, 1873",1-88,NULL,2553,101,27.945784,3,1,1.05,.30000001,.31999999,.19,.2,.033457249,9,Matched (3),54874.738,51846.602,279,1873,,3,22,,,both in master and using data,5,1,18291.58,1,,,
AV13441,1,Statira : 1843-1845,"New Bedford, MA",,Pacific,1843,1843 Aug 24,1845,1845,L,AA0564,Hathaway & Luce,26000,266,2580,New Bedford,"MVH, PPL, MAU",1,1,"1, 2, 4, 6, 43, 7, 335, 395, 5",AM0022,"Adams, Joseph S., Jr.***",L,,,,,,,,,AS0613,Statira,Bark / Ship,346/348,"Rochester, MA-Mattapoisett, MA",1826,"Withdr, 1861; lost, coast of Ireland, Jan, 1862",1-467,NULL,12213,603,30.327721,2,.63,.83999997,.345,.46000001,.35749999,.47999999,.077738516,22,Matched (3),71710.078,53717.559,347,1862,,2,22,,.0625,both in master and using data,5,2,35855.039,2,18291.58,1,
AV13443,1,Statira : 1845-1848,"New Bedford, MA",,Pacific,1845,1845,1848,1848,L,AA0564,Hathaway & Luce,21075,205,2020,New Bedford,"NBW, KWM, MAU, SLU",1,1,"1, 2, 4, 6, 7, 161, 335, 395, 5",AM0022,"Adams, Joseph S., Jr.",,,,,,,,,,AS0613,Statira,Bark / Ship,346/348,"Rochester, MA-Mattapoisett, MA",1826,"Withdr, 1861; lost, coast of Ireland, Jan, 1862",2-593,NULL,12214,603,30.372957,3,.88,1.0599999,.32875001,.40000001,.33625001,.41,.11145511,36,Matched (3),51703.352,42554.422,347,1862,,3,22,,.06666667,both in master and using data,5,3,17234.451,3,35855.039,,1
AV00820,1,America : 1848-1851,"New Bedford, MA",,,1848,1848,1851,1851,,AA0641,"Howland, I., Jr. & Co.",56400,430,3620,New Bedford,MAU,1,1,"1, 2, 4, 7, 335, 5, 395",AM0022,"Adams, Joseph S.",,,,,,,,,,AS0006,America,Ship,418,"Newbury, MA",1822,Stone Fleet #2,2-5,NULL,760,8,30.985247,3,1.0033,1.22,.33000001,.40000001,.25400001,.31,.076335877,20,Matched (3),100333.2,82618.398,418,1861,,3,22,,.0625,both in master and using data,5,4,33444.402,4,17234.451,1,
AV06360,1,Helen Snow : 1862-1867,"New Bedford, MA",,,1862,1862 Oct 8,1867,1867,A,AA1165,"Snow, Loum",25300,810,1329,New Bedford,,NULL,1,"1, 4, 7, 117, 210, 5",AM0022,"Adams, Joseph S., Jr.**",D,,,,,,,,,AS0284,Helen Snow,Bark,299/215,"Bath, ME",1851,"Aband in Arctic, salvaged,sold Russian, renamed Tugar, later Desmond",4-81,NULL,5835,279,,5,1.425,1.37,.59329998,.56999999,.81999999,.79000002,.17171717,34,Matched (3),98410.664,102341.32,257,1872,,5,22,,,both in master and using data,5,5,19682.133,5,33444.402,1,
AV00740,1,Amazon : 1823-1824,"Fairhaven, MA",,,1823,1823,1824,1824,L,,NULL,0,0,2000,"New Bedford, MA",,NULL,1,"1, 2, 4, 117, 150, 254, 395, 5",AM0024,"Adams, Joshua A.",,,,,,,,,,AS0853,Amazon,Bark / Ship,318,"Berkley, MA",1815,"Sunk at Charleston, 1861, Stone Fleet",,NULL,682,838,,1,.43000001,.41999999,.31999999,.31,.13,.13,.050420169,6,Matched (3),26040,26880,318,1861,46,1,23,,,both in master and using data,2,1,26040,1,,,
AV00741,1,Amazon : 1824-1825,"Fairhaven, MA",,,1824,1824,1825,1825,L,,NULL,7500,0,1650,New Bedford,,NULL,1,"1, 2, 4, 254, 395, 5",AM0024,"Adams, Joshua A.",,,,,,,,,,AS0853,Amazon,Bark / Ship,318,"Berkley, MA",1815,"Sunk at Charleston, 1861, Stone Fleet",,NULL,683,838,,1,.45500001,.46000001,.30000001,.31,.13,.13,.072072074,8,Matched (3),22458,21765,318,1861,,1,23,,,both in master and using data,2,2,22458,2,26040,,1
AV14133,1,Tropic Bird : 1865-1866,"New Bedford, MA",,,1865,1865 Jun 21,1866,1866,C,AA0647,"Howland, William Penn",0,408,0,New Bedford,,NULL,1,"1, 4, 7, 138, 395, 5",AM0025,"Adams, Lemuel Drew",,"July 11, 1835","New Bedford, MA","May 13, 1918","New Bedford, MA",Mary Frances Haskell,,"533, 591",,AS0658,Tropic Bird,Bark,220/150/145/138,"So Dartmouth, MA",1851,"Cond and sold at Bermuda, Sept, 1885",4-206,NULL,12811,649,,1,2.25,1.22,1.45,.77999997,1.71,.92000002,.10344828,15,Matched (3),20905.92,38556,163.25,1885,,1,24,,,both in master and using data,3,1,20905.92,1,,,
AV14134,1,Tropic Bird : 1867-1868,"New Bedford, MA",,,1867,1867 Jan 7,1868,1868,C,AA0647,"Howland, William Penn",0,300,13,New Bedford,KWM,NULL,1,"1, 4, 6, 7, 395, 5",AM0025,"Adams, Lemuel Drew",,"July 11, 1835","New Bedford, MA","May 13, 1918","New Bedford, MA",Mary Frances Haskell,,"533, 591",,AS0658,Tropic Bird,Bark,220/150/145/138,"So Dartmouth, MA",1851,"Cond and sold at Bermuda, Sept, 1885",4-206,NULL,12812,649,,1,2.2349999,1.38,.73250002,.44999999,1.175,.73000002,.082278483,13,Matched (3),17633.699,28560.943,163.25,1885,,1,24,,,both in master and using data,3,2,17633.699,2,20905.92,,1
AV11491,1,Petrel : 1872-1873,"New Bedford, MA",,,1872,1872 Oct 24,1873,1873,L,AA1029,"Reed, Philip H.",,,,New Bedford,,NULL,1,"1, 4, 7, 50, 5, 50",AM0025,"Adams, Lemuel Drew",,"July 11, 1835","New Bedford, MA","May 13, 1918","New Bedford, MA",Mary Frances Haskell,,"533, 591",,AS0552,Petrel,Schr,59/61,"Newbury, MA",1840,"Lost in a gale, No Atl, Oct 28, 1879",4-274,NULL,10433,540,,1,1.4525,1.0700001,.65499997,.47999999,1.285,.94,.1875,18,Matched (3),,,60,1879,,1,24,,,both in master and using data,3,3,,3,17633.699,1,
AV13095,1,Seine : 1840-1842,"New Bedford, MA",,,1840,1840 Oct 6,1842,1842,L,AA0480,"French, Rodney",0,812,0,New Bedford,NBW,NULL,1,"1, 2, 4, 6, 41, 5, 7, 395, 5",AM0027,"Adams, Mayhew",,1759,,,,,,665,,AS0610,Seine,Bark / Ship,281/234/235,"Saybrook, CT",1818,"Lost at Cape Frio, Brazil, June 28, 1884",1-457,NULL,11902,600,,2,1,1.05,.30000001,.31999999,.19,.2,.033457249,9,Matched (3),35809.199,34104,250,1884,,2,26,,.05882353,both in master and using data,2,1,17904.6,1,,,
AV08855,1,March : 1853-1854,"Mattapoisett, MA",,Atlantic,1853,1853 Jun 8,1854,1854 Aug 29,L,AA0099,"Barstow, R. L.",0,183,46,New Bedford,,NULL,1,"1, 4, 5, 395",AM0027,"Adams, Mayhew",,1759,,,,,,665,,AS0466,March,Brig,89,"Kingston, MA",1829,"Lost at sea, 1863",,NULL,8082,456,,1,1.2474999,1.29,.58125001,.60000002,.345,.36000001,.074193545,23,Matched (3),11074.14,10711.26,89,1863,,1,26,,.1,both in master and using data,2,2,11074.14,2,17904.6,1,
AV05485,1,General Pike : 1831-1832,"New Bedford, MA",,,1831,1831,1832,1832,C,,NULL,16000,80,2200,"New Bedford, MA",,NULL,1,"1, 4, 395, 5",AM0030 ?,"Adams, William, Jr.*** ?",L,,,,,,,,,AS0235,General Pike,Bark / Ship,313,"Kennebunk, ME",1821,"Cond & sold at Tahiti, 1868",,NULL,5030,231,,1,.70999998,.75999999,.30000001,.31999999,.17,.18000001,.041958041,6,Matched (3),35001.598,32825.602,313,1868,,1,28,27,,both in master and using data,3,1,35001.598,1,,,
AV05486,1,General Pike : 1832-1834,"New Bedford, MA",,,1832,1832,1834,1834,C,AA0355,"Crocker, Oliver",19000,250,2500,"New Bedford, MA",,NULL,1,"1, 4, 395, 5",AM0030 ?,"Adams, William",,,,,,,,,,AS0235,General Pike,Bark / Ship,313,"Kennebunk, ME",1821,"Cond & sold at Tahiti, 1868",,NULL,5031,231,,2,.85000002,.88999999,.235,.25,.13,.14,.035502959,6,Matched (3),38255,36070,313,1868,,2,28,27,,both in master and using data,3,2,19127.5,2,35001.598,,1
AV05487,1,General Pike : 1834-1835,"New Bedford, MA",,,1834,1834,1835,1835,C,,NULL,0,0,250,"New Bedford, MA",,NULL,1,"1, 4, 5, 395",AM0030 ?,"Adams, William",,,,,,,,,,AS0235,General Pike,Bark / Ship,313,"Kennebunk, ME",1821,"Cond & sold at Tahiti, 1868",,NULL,5032,231,,1,.72500002,.81,.27500001,.31,.20999999,.23,.026881721,5,Matched (3),3255,2887.5,313,1868,,1,28,,,both in master and using data,3,3,3255,3,19127.5,,1
AV03843,1,Dragon : 1822-1823,"New Bedford, MA",,,1822,1822,1823,1823,L,,NULL,,,,"New Bedford, MA",,NULL,1,"1, 2, 4, 5, 254",AM0034,"Akin, Benjamin",,1792,,"Aug 17, 1870","New Bedford, MA",,,591,,AS1156,Dragon,Bark / Brig,190,"Duxbury, MA",1805,Lost in 1847 at Cape Verdes,,NULL,3523,1121,,1,.64999998,.61000001,.31999999,.30000001,.12,.11,.018691588,2,Matched (3),,,190,1847,,1,29,,,both in master and using data,1,1,,1,,,
AV15828,1,Winthrop : 1855-1858,"Fairhaven, MA",,Pacific,1855,1855 Aug 8,1858,1858,So,AA0688,"Jenney, Dexter",600,766,77,New Bedford,,NULL,1,"1, 4, 5, 7, 12, 395",AM0037,"Akin, Issachar H.",,"Dec 26, 1818",,"Aug, 1866",at sea,,,591,,AS2636,Winthrop,Bark,218,"Augusta, ME",1847,"Sold to Boston for merch serv, 1863; sold foreign",3-357,NULL,14393,2527,,3,1.772,1.61,.713,.64999998,.45249999,.41,.12396694,30,Matched (3),54145.02,59586.125,218,1863,16,3,30,,.06666667,both in master and using data,4,1,18048.34,1,,,
AV02990,1,Cleora : 1859-1862,"New Bedford, MA",,,1859,1859 May 10,1862,1862,C,AA0600,"Hitch, Charles & Son",,,,New Bedford,,NULL,1,"1, 4, 7, 5",AM0037,"Akin, Issachar H.",,"Dec 26, 1818",,"Aug, 1866",at sea,,,591,,AS0126,Cleora,Bark,263,"Franklin, ME",1847,"Cond at Mauritius, Jul, 1862",3-52,NULL,2719,126,,3,1.3625,1.4299999,.48500001,.50999999,.88,.93000001,.1124498,28,Matched (3),,,263,1862,,3,30,,,both in master and using data,4,2,,2,18048.34,1,
AV00046,1,A. R. Tucker : 1864-1865,"New Bedford, MA",,Atlantic,1864,1864 Jun 6,1865,1865 Nov 3,C,AA1380,"Wing, Joseph & William R.",2300,1109,457,New Bedford,NBL,1,1,"1, 6, 4, 7, 5, 395",AM0037,"Akin, Issachar H.",,"Dec 26, 1818",,"Aug, 1866",at sea,,,591,,AS0020,A. R. Tucker,Bark,218/130/145,"South Dartmouth, MA",1851,"Broken up, 1908",4-2,NULL,43,22,10.302299,1,1.78,.92000002,1.28,.66000003,1.8,.93000001,.11111111,18,Matched (3),57658.801,111617.16,164.33333,1908,,1,30,,,both in master and using data,4,3,57658.801,3,,1,
AV02037,1,Brewster : 1866-1868,"New Bedford, MA",,,1866,1866 Apr 30,1868,1868,L,AA1380,"Wing, Joseph & William R.",,,,New Bedford,,NULL,1,"1, 4, 5, 7",AM0037,"Akin, Issachar H.",,"Dec 26, 1818",,"Aug, 1866",at sea,,,591,,AS0717,Brewster,Bark / Ship,225/215/170,"Cohasset, MA",1843,"Lost at sea, 1868",4-234,NULL,1859,705,,2,2.55,1.47,1.21,.69999999,1.37,.79000002,.14399999,18,Matched (3),,,203.33333,1868,,2,30,,,both in master and using data,4,4,,4,57658.801,1,
AV14069,1,Triton : 1825-1827,"New Bedford, MA",,Pacific,1825,1825 Sep 1,1827,1827 Aug 23,L,AA0641,"Howland, I., Jr. & Co.",0,2062,0,"New Bedford, MA",,NULL,1,"1, 4, 287, 395, 5",AM0042,"Albert, Ivory C.",,1795,,"Feb 7, 1866","Fairhaven, MA",,,591,,AS0647,Triton,Bark / Ship,300/265/252,"Fairhaven, MA",1818,"Lost off Herschel Is, Aug, 1895",,NULL,12760,637,,2,.70499998,.68000001,.31999999,.31,.15000001,.15000001,.013333334,1,Matched (3),58890.719,61055.82,272.33334,1895,,2,32,,,both in master and using data,2,1,29445.359,1,,,
AV09575,1,Mercury : 1828-1831,"New Bedford, MA",,Pacific,1828,1828,1831,1831,L,AA0641,"Howland, I., Jr. & Co.",0,2325,0,"New Bedford, MA",,NULL,1,"1, 4, 395, 5",AM0042,"Albert, Ivory C.",,1795,,"Feb 7, 1866","Fairhaven, MA",,,591,,AS0412,Mercury,Bark / Ship,340/311,"Rochester, MA-Mattapoisett, MA",1822,"Lost in the Arctic, Oct 24, 1879",,NULL,8728,401,,3,.625,.63999999,.25999999,.27000001,.25,.25999999,.04587156,5,Matched (3),62496,61031.25,325.5,1879,,3,32,,,both in master and using data,2,2,20832,2,29445.359,1,
AV08242,1,Latona : 1809-,"New Bedford, MA",,,1809,1809,,,,,NULL,,,,New Bedford,,NULL,1,"117, 198",AM0045,"Alden, Seth",,,,,,,,,,AS1771,Latona,Ship,,,1807,,,NULL,7505,1724,,,.60000002,.46000001,.44,.34,.079999998,.059999999,.083333336,2,Matched (3),,,,1809,2,,34,,,both in master and using data,1,1,,1,,,
AV02084,1,Bruce : 1840-1842,"Fairhaven, MA",,Indian O,1840,1840 Sep 10,1842,1842 May 26,L,AA0147,"Bradford, Fuller & Co.",0,430,0,New Bedford,,NULL,1,"1, 2, 4, 7, 117, 5, 395",AM0046,"Alden, Silas P.",,"July 8, 1809","New Bedford, MA","Nov 7, 1902","New Bedford, MA",Emily Howland,,"533, 591",,AS1013,Bruce,Bark / Ship,172/148,"Kingston, MA",1826,"Wrecked and cond at Zanzibar, June, 1858",1-68,NULL,1906,988,,2,1,1.05,.30000001,.31999999,.19,.2,.033457249,9,Matched (3),18963,18060,160,1858,32,2,35,,,both in master and using data,5,1,9481.5,1,,,
AV02085,1,Bruce : 1842-1844,"Fairhaven, MA",,,1842,1842 Jul,1844,1844,L,AA0147,"Bradford, Fuller & Co.",0,450,0,New Bedford,,NULL,1,"1, 2, 4, 5, 7, 117, 395",AM0046,"Alden, Silas P.",,"July 8, 1809","New Bedford, MA","Nov 7, 1902","New Bedford, MA",Emily Howland,,"533, 591",,AS1013,Bruce,Bark / Ship,172/148,"Kingston, MA",1826,"Wrecked and cond at Zanzibar, June, 1858",1-68,NULL,1907,988,,2,.73000002,.88999999,.33750001,.41,.24909,.30000001,.094117649,24,Matched (3),16821,13797,160,1858,,2,35,,,both in master and using data,5,2,8410.5,2,9481.5,,1
AV11115,1,Pacific : 1845-1849,"Fairhaven, MA",,,1845,1845,1849,1849,L,AA1238,"Swift, Asa",5000,300,1100,New Bedford,,NULL,1,"1, 2, 4, 7, 50, 117, 150, 395, 5, 50",AM0046,"Alden, Silas P.",,"July 8, 1809","New Bedford, MA","Nov 7, 1902","New Bedford, MA",Emily Howland,,"533, 591",,AS0532,Pacific,Bark / Ship,314,"Scituate, MA",1818,"Lost, Bering Is July, 1866",2-537,NULL,10097,520,,4,.88,1.0599999,.32875001,.40000001,.33625001,.41,.11145511,36,Matched (3),33886,27957.5,314,1866,,4,35,,.055555556,both in master and using data,5,3,8471.5,3,8410.5,1,
AV11116,1,Pacific : 1850-1851,"Fairhaven, MA",,,1850,1850,1851,1851,L,AA0444,"Fish, Reuben",0,115,0,New Bedford,NBW,NULL,1,"1, 2, 4, 6, 7, 117, 395, 5, 50",AM0046,"Alden, Silas P.***",L,"July 8, 1809","New Bedford, MA","Nov 7, 1902","New Bedford, MA",Emily Howland,,"533, 591",,AS0532,Pacific,Bark / Ship,314,"Scituate, MA",1818,"Lost, Bering Is July, 1866",2-537,NULL,10098,520,,1,1.207,1.4400001,.491,.57999998,.34400001,.41,.13095239,33,Matched (3),6955.2002,5829.8101,314,1866,,1,35,,.06666667,both in master and using data,5,4,6955.2002,4,8471.5,,1
AV08126,1,Laetitia : 1852-1854,"New Bedford, MA",,,1852,1852,1854,1854,C,AA1249,"Taber, F. & G. R.",0,1116,13,New Bedford,"NBL, KWM, NHA",NULL,1,"1, 4, 6, 7, 5, 395",AM0046,"Alden, Silas P.",,"July 8, 1809","New Bedford, MA","Nov 7, 1902","New Bedford, MA",Emily Howland,,"533, 591",,AS0390,Laetitia,Bark,275/208,"Baltimore, MD",1844,"Cond and sold foreign at Mauritius, 1879",2-290,NULL,7408,381,,2,1.2375,1.41,.68167001,.76999998,.50749999,.57999998,.084269665,15,Matched (3),66509.938,58376.289,241.5,1879,,2,35,,.083333336,both in master and using data,5,5,33254.969,5,6955.2002,1,
AV08351,1,Leonidas : 1858-1861,"New Bedford, MA",,,1858,1858 Sep 15,1861,1861,,AA0832,"Maxfield, Russell",0,231,370,New Bedford,,NULL,1,"1, 4, 7, 395",AM0047,"Aldrich, Albert J.",,,,,,,,,,AS0382,Leonidas,Bark / Ship,231,"Scituate, MA",1826,Stone Fleet #1,3-170,NULL,7611,373,,3,1.21,1.3,.54000002,.57999998,.92250001,.99000001,.11153846,29,Matched (3),21625.799,20131.021,231,1861,,3,36,,,both in master and using data,1,1,7208.5996,1,,,
AV13291,1,South Carolina : 1851-1852,"New Bedford, MA",,,1851,1851 Apr 28,1852,1852,C,AA1276,"Thompson, James D.",0,80,130,New Bedford,,NULL,1,"2, 7, 5",AM0048,"Alexander, Hession",,,,,,,,,,AS0603,South Carolina,Ship,306,"Charleston, SC",1815,Cond at Hobart,2-597,NULL,12076,593,,1,1.2725,1.53,.453125,.55000001,.345,.41999999,.078291818,22,Matched (3),8143.7998,6749.6626,306,1852,,1,37,,.06666667,both in master and using data,1,1,8143.7998,1,,,
